1.528811[r] 0.415449[g] 1.265529[r] 0.924603[g] 0.312780[g] 0.337575[g] 0.318816[g] 1.703650[g] 0.151467[g] 3.041320[g] 
0.787008[g] 2.478202[g] 0.327591[g] 0.168599[g] 0.156550[r] 4.685354[g] 0.271718[g] 0.125422[r] 0.236551[g] 0.763006[g] 
0.002997[r] 2.505003[g] 0.147327[g] 0.630120[g] 1.870356[g] 0.152301[g] 1.940759[r] 0.969012[g] 1.665635[g] 0.116490[g] 
1.112379[r] 0.080033[g] 0.772395[g] 0.985788[g] 1.358795[r] 0.451783[g] 3.114977[g] 0.142235[r] 0.002729[g] 1.978885[g] 
0.624050[r] 0.159186[g] 0.601188[r] 2.594251[g] 0.278862[g] 0.169059[r] 2.578710[g] 0.601070[g] 0.109208[g] 2.284416[g] 
1.487543[r] 0.525227[g] 0.300820[r] 2.734093[g] 0.462952[g] 0.791896[g] 0.196324[g] 1.444636[r] 1.544562[g] 0.511946[g] 
0.392073[g] 0.002749[r] 0.894748[g] 2.111460[r] 0.176576[g] 0.470353[g] 1.078486[g] 0.071297[g] 4.089041[g] 0.713218[g] 
0.059325[r] 0.846351[g] 3.446687[g] 0.429422[g] 0.645353[r] 2.151206[g] 0.654034[g] 0.773891[g] 0.664764[g] 0.328966[g] 
1.353941[g] 0.867500[r] 0.124900[g] 0.116544[r] 3.837715[g] 0.613874[g] 0.321678[r] 0.652619[g] 1.056731[g] 1.054497[g] 
1.289262[r] 0.744742[g] 2.236010[g] 0.105505[g] 0.212432[r] 2.353427[g] 1.457036[g] 0.008004[g] 0.506682[r] 1.086899[g] 
0.162171[r] 0.604543[g] 3.064709[g] 0.493803[g] 1.824912[r] 0.035946[g] 0.251765[r] 3.298108[g] 0.101369[g] 0.162675[g] 
2.266859[g] 1.274856[r] 0.210854[g] 1.332158[g] 0.154211[r] 1.918452[g] 0.797705[g] 0.256126[g] 0.557683[g] 1.231096[g] 
3.150139[g] 0.113827[r] 0.261435[g] 0.523589[r] 2.199435[g] 1.080063[g] 0.285876[g] 0.179178[r] 2.009602[g] 0.196855[g] 
1.159701[r] 1.625996[g] 0.298468[g] 1.469439[r] 2.750695[g] 0.543182[g] 0.507353[r] 0.095322[g] 1.494160[r] 0.055683[g] 
2.518738[r] 0.973969[g] 1.476068[r] 0.980652[g] 0.018210[g] 0.570152[r] 0.580351[g] 0.186596[g] 2.247347[g] 0.447918[g] 
0.262878[g] 0.168890[r] 0.682656[g] 1.352776[g] 1.485040[r] 0.517975[g] 1.007476[g] 1.496750[g] 2.547507[g] 0.478052[g] 
1.749001[g] 0.415299[r] 1.834594[g] 0.142826[g] 0.302541[g] 2.107877[r] 0.225634[g] 0.241630[g] 2.142309[r] 0.838290[g] 
0.265939[g] 1.380219[g] 0.089074[g] 0.376923[g] 0.127399[r] 0.226752[g] 0.832865[g] 1.560025[g] 0.889211[r] 4.251594[g] 
1.518624[r] 1.228061[g] 0.947998[g] 0.053891[g] 0.220215[g] 1.257243[g] 2.579877[r] 1.274331[g] 0.044688[g] 0.875070[g] 
0.163586[g] 0.177881[g] 2.100062[r] 1.327181[g] 0.178608[g] 3.932389[g] 0.487528[r] 0.343343[g] 0.818956[g] 0.470468[g] 
0.033156[r] 0.084442[g] 0.807264[g] 0.269030[r] 0.474975[g] 0.511136[g] 3.361925[g] 1.214034[g] 1.122709[r] 2.121330[g] 
0.114685[g] 1.156439[g] 1.586575[g] 0.699160[g] 1.300550[r] 0.438332[g] 1.840145[g] 0.614915[g] 0.898952[g] 1.350246[g] 
0.777423[r] 0.772222[g] 1.974546[r] 0.666327[g] 0.759587[g] 0.007136[g] 2.188358[g] 1.239998[g] 0.796821[g] 0.817582[g] 
2.615542[r] 0.063815[g] 0.706105[g] 1.961512[g] 0.286492[r] 1.195625[g] 2.165856[g] 0.512843[g] 0.468279[r] 0.023931[g] 
1.173508[r] 0.430159[g] 2.439276[r] 0.446973[g] 0.060209[g] 1.226850[g] 0.013320[r] 3.412091[g] 0.719226[r] 0.078387[g] 
1.335055[g] 1.107919[r] 0.363434[g] 0.070388[r] 1.511876[g] 0.949614[r] 1.916978[g] 0.309430[g] 1.570395[g] 0.864911[g] 
0.748364[g] 1.054504[r] 0.404174[g] 0.717715[g] 2.073167[g] 1.274938[g] 0.034804[g] 0.330228[r] 2.383699[g] 0.978408[g] 
0.717494[g] 1.250566[r] 0.653194[g] 1.682591[g] 0.637413[g] 0.331928[r] 0.554198[g] 2.961540[r] 1.202167[g] 0.008909[g] 
