n,k,init_time,per_sample_time,status
1,1,0.009458,0.057818,ok
2,1,0.057317,0.012192,ok
3,1,0.021629,0.022244,ok
4,1,0.063713,0.040940,ok
5,1,0.140206,0.051223,ok
6,1,0.273828,0.078446,ok
7,1,0.796043,0.132851,ok
8,1,1.136920,0.158308,ok
9,1,1.944078,0.239077,ok
10,1,2.868409,0.272812,ok
1,2,0.004324,0.007049,ok
2,2,0.020699,0.015206,ok
3,2,0.032138,0.023459,ok
4,2,0.092786,0.045703,ok
5,2,0.216158,0.068986,ok
6,2,0.560302,0.096334,ok
7,2,1.286540,0.150568,ok
8,2,2.175645,0.202068,ok
9,2,4.236106,0.287261,ok
10,2,6.461230,0.345240,ok
1,3,0.011431,0.008712,ok
2,3,0.017506,0.015071,ok
3,3,0.048233,0.038874,ok
4,3,0.113017,0.048423,ok
5,3,0.298351,0.095957,ok
6,3,0.704870,0.099063,ok
7,3,1.654946,0.180775,ok
8,3,3.541600,0.221547,ok
9,3,6.909008,0.332642,ok
10,3,10.685222,0.395463,ok
1,4,0.009836,0.009564,ok
2,4,0.026956,0.015842,ok
3,4,0.078130,0.039021,ok
4,4,0.122627,0.058296,ok
5,4,0.299752,0.083524,ok
6,4,0.882109,0.133561,ok
7,4,1.958237,0.212123,ok
8,4,4.046180,0.294900,ok
9,4,8.413913,0.359429,ok
10,4,14.442407,0.591544,ok
1,5,0.008416,0.010278,ok
2,5,0.035871,0.019303,ok
3,5,0.062765,0.034003,ok
4,5,0.169861,0.069097,ok
5,5,0.470514,0.092612,ok
6,5,1.113628,0.130214,ok
7,5,2.343771,0.201108,ok
8,5,4.588380,0.257392,ok
9,5,8.943808,0.375765,ok
10,5,15.882724,0.530225,ok
1,6,0.008123,0.012130,ok
2,6,0.031875,0.022258,ok
3,6,0.079924,0.058086,ok
4,6,0.182736,0.081423,ok
5,6,0.452950,0.100681,ok
6,6,1.144715,0.157736,ok
7,6,2.413108,0.228105,ok
8,6,4.670267,0.321697,ok
9,6,9.485636,0.518901,ok
10,6,18.357506,0.623248,ok
1,7,0.008412,0.012849,ok
2,7,0.049227,0.030190,ok
3,7,0.084203,0.056734,ok
4,7,0.206356,0.080268,ok
5,7,0.498174,0.121243,ok
6,7,1.127714,0.172183,ok
7,7,2.478639,0.283794,ok
8,7,5.283819,0.386424,ok
9,7,10.798744,0.639419,ok
10,7,19.870221,0.735949,ok
1,8,0.016963,0.015643,ok
2,8,0.040841,0.050576,ok
3,8,0.122115,0.072241,ok
4,8,0.348002,0.123000,ok
5,8,0.736869,0.158446,ok
6,8,1.926788,0.302165,ok
7,8,3.376597,0.330234,ok
8,8,6.239092,0.483869,ok
9,8,12.754889,0.691532,ok
10,8,21.564581,0.923693,ok
1,9,0.026316,0.014991,ok
2,9,0.053985,0.033597,ok
3,9,0.103803,0.056330,ok
4,9,0.257035,0.109210,ok
5,9,0.561729,0.155448,ok
6,9,1.201298,0.206762,ok
7,9,2.653919,0.327990,ok
8,9,5.924208,0.397711,ok
9,9,10.726021,0.532990,ok
10,9,22.014288,0.730321,ok
1,10,0.012027,0.015675,ok
2,10,0.059974,0.027890,ok
3,10,0.129557,0.049490,ok
4,10,0.502517,0.089743,ok
5,10,0.519611,0.114398,ok
6,10,1.093735,0.184518,ok
7,10,2.868804,0.255711,ok
8,10,5.574977,0.357862,ok
9,10,10.221644,0.499709,ok
10,10,20.653142,0.745623,ok
