T,mean_trials
1.000999999999999890e+00,1.004999999999999893e+00
1.123428571428571221e+00,2.185000000000000053e+00
1.245857142857142774e+00,2.765000000000000124e+00
1.368285714285714327e+00,3.299999999999999822e+00
1.490714285714285658e+00,4.000000000000000000e+00
1.613142857142856990e+00,4.419999999999999929e+00
1.735571428571428543e+00,4.599999999999999645e+00
1.858000000000000096e+00,5.299999999999999822e+00
1.980428571428571427e+00,5.054999999999999716e+00
2.102857142857142758e+00,4.285000000000000142e+00
2.225285714285714533e+00,3.884999999999999787e+00
2.347714285714285865e+00,3.654999999999999805e+00
2.470142857142857196e+00,3.674999999999999822e+00
2.592571428571428527e+00,3.660000000000000142e+00
2.714999999999999858e+00,3.589999999999999858e+00
2.837428571428571633e+00,2.845000000000000195e+00
2.959857142857142964e+00,3.174999999999999822e+00
3.082285714285714295e+00,3.055000000000000160e+00
3.204714285714285626e+00,2.750000000000000000e+00
3.327142857142857402e+00,2.810000000000000053e+00
3.449571428571428733e+00,3.069999999999999840e+00
3.572000000000000064e+00,2.725000000000000089e+00
3.694428571428571839e+00,2.694999999999999840e+00
3.816857142857143170e+00,2.674999999999999822e+00
3.939285714285714501e+00,2.259999999999999787e+00
4.061714285714286277e+00,2.470000000000000195e+00
4.184142857142857608e+00,2.350000000000000089e+00
4.306571428571428939e+00,2.220000000000000195e+00
4.429000000000000270e+00,2.265000000000000124e+00
4.551428571428571601e+00,2.209999999999999964e+00
4.673857142857142932e+00,2.200000000000000178e+00
4.796285714285714263e+00,2.154999999999999805e+00
4.918714285714285595e+00,1.939999999999999947e+00
5.041142857142856926e+00,1.955000000000000071e+00
5.163571428571428257e+00,2.160000000000000142e+00
5.285999999999999588e+00,1.945000000000000062e+00
5.408428571428570919e+00,1.935000000000000053e+00
5.530857142857144026e+00,1.729999999999999982e+00
5.653285714285715358e+00,1.820000000000000062e+00
5.775714285714286689e+00,1.955000000000000071e+00
5.898142857142858020e+00,1.929999999999999938e+00
6.020571428571429351e+00,1.895000000000000018e+00
6.143000000000000682e+00,1.945000000000000062e+00
6.265428571428572013e+00,1.870000000000000107e+00
6.387857142857143344e+00,1.754999999999999893e+00
6.510285714285714675e+00,1.895000000000000018e+00
6.632714285714286007e+00,1.885000000000000009e+00
6.755142857142857338e+00,1.760000000000000009e+00
6.877571428571428669e+00,1.745000000000000107e+00
7.000000000000000000e+00,1.764999999999999902e+00
