0.488598[a] 0.723555[a] 0.787858[a] 
0.951145[a] 0.697306[a] 0.351559[a] 
0.592647[a] 0.492911[a] 0.914452[a] 
0.966402[a] 0.424538[a] 0.609070[a] 
0.254078[a] 0.962130[a] 0.783802[a] 
0.421546[a] 0.992667[a] 0.585797[a] 
0.599989[a] 0.823093[a] 0.576928[a] 
0.749657[a] 0.558151[a] 0.692201[a] 
0.682472[a] 0.536686[a] 0.780853[a] 
0.423839[a] 0.601458[a] 0.974713[a] 
0.523630[a] 0.523581[a] 0.952800[a] 
0.669352[a] 0.423657[a] 0.907002[a] 
0.854550[a] 0.379211[a] 0.766249[a] 
0.395032[a] 0.926299[a] 0.678679[a] 
0.395730[a] 0.834144[a] 0.770136[a] 
0.851655[a] 0.281203[a] 0.867152[a] 
0.908738[a] 0.216481[a] 0.874791[a] 
0.603331[a] 0.910594[a] 0.486085[a] 
0.630091[a] 0.416269[a] 0.953650[a] 
0.444023[a] 0.841031[a] 0.714956[a] 
0.655966[a] 0.836548[a] 0.507496[a] 
0.244507[a] 0.983620[a] 0.771884[a] 
0.636813[a] 0.524446[a] 0.838750[a] 
0.661256[a] 0.400338[a] 0.938416[a] 
0.553071[a] 0.472697[a] 0.974242[a] 
0.070696[a] 0.984941[a] 0.944374[a] 
0.164414[a] 0.869944[a] 0.965652[a] 
0.986730[a] 0.084482[a] 0.928798[a] 
0.608700[a] 0.550845[a] 0.840465[a] 
0.903824[a] 0.595904[a] 0.500282[a] 
0.733596[a] 0.580134[a] 0.686280[a] 
0.945654[a] 0.484733[a] 0.569623[a] 
0.699139[a] 0.397067[a] 0.903804[a] 
0.707475[a] 0.686616[a] 0.605919[a] 
0.967743[a] 0.697579[a] 0.334687[a] 
0.778579[a] 0.658249[a] 0.563181[a] 
0.367390[a] 0.793019[a] 0.839601[a] 
0.893286[a] 0.263983[a] 0.842742[a] 
0.688271[a] 0.494925[a] 0.816815[a] 
0.988024[a] 0.525918[a] 0.486068[a] 
0.683124[a] 0.877454[a] 0.439431[a] 
0.984068[a] 0.457219[a] 0.558722[a] 
0.981474[a] 0.339228[a] 0.679307[a] 
0.495901[a] 0.753561[a] 0.750548[a] 
0.410107[a] 0.923235[a] 0.666668[a] 
0.658354[a] 0.381642[a] 0.960015[a] 
0.505661[a] 0.496562[a] 0.997787[a] 
0.657033[a] 0.798736[a] 0.544242[a] 
0.889028[a] 0.983398[a] 0.127585[a] 
0.784925[a] 0.915953[a] 0.299131[a] 
0.526658[a] 0.925029[a] 0.548323[a] 
0.493883[a] 0.531780[a] 0.974346[a] 
0.734875[a] 0.599671[a] 0.665464[a] 
0.790120[a] 0.901402[a] 0.308488[a] 
0.827856[a] 0.387936[a] 0.784218[a] 
0.235560[a] 0.811588[a] 0.952862[a] 
